ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Threshold,accuracy,precision,recall,f1,roc_auc,Precision at 1%,Precision at 2%,Precision at 5%,Precision at 10%,Precision at 20%,Precision at 30%,Precision at 50%
0.0,Logistic Regression,29.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs'}",0.04186439514160156,0.003992319107055664,0.9,0.272644218219786,0.9583333333333334,0.03329665875267821,0.0643572667748615,0.5144618679455187,0.9652173913043478,0.9586956521739132,0.9417391304347826,0.9330143540669856,0.9066985645933014,0.8776102088167054,0.8330288001392152
0.0,Logistic Regression,30.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'newton-cg'}",0.24434638023376465,0.003990650177001953,0.9,0.272644218219786,0.9583333333333334,0.03329665875267821,0.0643572667748615,0.5144618679455187,0.9652173913043478,0.9586956521739132,0.9417391304347826,0.9330143540669856,0.9066985645933014,0.8777552204176334,0.8329417906551814
1.0,Decision Tree,16.0,"{'min_samples_split': 0.05, 'max_depth': 5}",0.058843374252319336,0.005983829498291016,0.9,0.3325067432350126,0.9253533568904594,0.1213156523249754,0.21450878001331086,0.545877346890142,0.9253533568904594,0.9253533568904594,0.9253533568904594,0.9156626506024096,0.8817642698295033,0.8151373675704794,0.7983066657099807
2.0,Random Forest,19.0,"{'min_samples_split': 0.01, 'max_depth': 10, 'max_features': 16}",6.287165880203247,0.41190052032470703,0.9,0.27564604541895066,0.9492017416545718,0.03787133012913313,0.07283661877714667,0.5158746190614181,0.9608695652173913,0.9456521739130435,0.9452173913043478,0.9325793823401479,0.9056111352762071,0.8784802784222738,0.8266771078047507
