ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Threshold,accuracy,precision,recall,f1,roc_auc,Precision at 1%,Precision at 2%,Precision at 5%,Precision at 10%,Precision at 20%,Precision at 30%,Precision at 50%
0.0,Logistic Regression,28.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",0.2512829303741455,0.002991914749145508,0.8,0.3933698773166275,0.9144851657940664,0.2124037292257803,0.3447368421052632,0.5762036137820349,0.9652173913043478,0.9608695652173912,0.9408695652173912,0.9317094388864724,0.9051967819091108,0.8773201856148491,0.8329417906551814
1.0,Decision Tree,1.0,"{'min_samples_split': 0.01, 'max_depth': 10}",0.09976482391357422,0.006962776184082031,0.9,0.3804489689376142,0.8785,0.20348601540332387,0.3304339649254784,0.559238197486514,0.9337349397590359,0.9337349397590359,0.9238578680203046,0.8991127177127834,0.8702241195304162,0.8458543619322278,0.8106164383561644
2.0,Random Forest,33.0,"{'min_samples_split': 0.01, 'max_depth': 15, 'max_features': 6}",5.517248630523682,0.4128990173339844,0.8,0.36757156530061774,0.9244872591671844,0.1722740170247264,0.29042807634109435,0.5648846034047892,0.9652173913043478,0.9521739130434784,0.9504347826086956,0.9343192692474988,0.9101783384080034,0.8834106728538283,0.8318976768467763
3.0,Bagging,24.0,"{'max_samples': 0.1, 'max_features': 41}",25.225554943084717,2.4861373901367188,0.8,0.3426868528669625,0.9241948153967008,0.13625571833922054,0.23749684582387084,0.5512483769236771,0.9567099567099568,0.9456521739130436,0.9365217391304348,0.9273597216180948,0.9009965337954939,0.8764501160092807,0.8359143901165825
4.0,Ada Boosting,6.0,"{'algorithm': 'SAMME.R', 'learning_rate': 0.001}",18.14746689796448,3.3473570346832275,0.7,0.4067693378578265,0.8949771689497716,0.23834616943656264,0.3764404609475031,0.5769306498748319,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7755926159009859
0.0,Logistic Regression,28.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",0.262955904006958,0.0,0.8,0.3933698773166275,0.9144851657940664,0.2124037292257803,0.3447368421052632,0.5762036137820349,0.9652173913043478,0.9608695652173912,0.9408695652173912,0.9317094388864724,0.9051967819091108,0.8773201856148491,0.8329417906551814
0.0,Logistic Regression,28.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",0.24650979042053225,0.01578831672668457,0.8,0.3933698773166275,0.9144851657940664,0.2124037292257803,0.3447368421052632,0.5762036137820349,0.9652173913043478,0.9608695652173912,0.9408695652173912,0.9317094388864724,0.9051967819091108,0.8773201856148491,0.8329417906551814
1.0,Decision Tree,1.0,"{'min_samples_split': 0.01, 'max_depth': 10}",0.11148476600646973,0.0,0.9,0.3804489689376142,0.8785,0.20348601540332387,0.3304339649254784,0.559238197486514,0.9337349397590359,0.9337349397590359,0.9238578680203046,0.8991127177127834,0.8702241195304162,0.8458543619322278,0.8106164383561644
2.0,Random Forest,33.0,"{'min_samples_split': 0.01, 'max_depth': 15, 'max_features': 6}",6.5891287326812735,0.7814781665802002,0.8,0.36757156530061774,0.9244872591671844,0.1722740170247264,0.29042807634109435,0.5648846034047892,0.9652173913043478,0.9521739130434784,0.9504347826086956,0.9343192692474988,0.9101783384080034,0.8834106728538283,0.8318976768467763
3.0,Bagging,24.0,"{'max_samples': 0.1, 'max_features': 41}",13.444501161575316,1.3833436965942385,0.8,0.3455146610980597,0.9193366000753864,0.14123574034396896,0.24485493424354984,0.5519017603241623,0.956896551724138,0.9443254817987152,0.9365895458440444,0.9210754553339116,0.9037165833514452,0.8737766263672999,0.8310863703574846
4.0,Ada Boosting,6.0,"{'algorithm': 'SAMME', 'learning_rate': 0.001}",1.4021177291870115,0.17351865768432614,0.7,0.2487166101105021,0.0,0.0,0.0,0.5,0.0,0.8949771689497716,0.8949771689497716,0.8949771689497716,0.8949771689497716,0.7512833898894979,0.7512833898894979
0.0,Logistic Regression,28.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",0.2580070495605469,0.0,0.8,0.3933698773166275,0.9144851657940664,0.2124037292257803,0.3447368421052632,0.5762036137820349,0.9652173913043478,0.9608695652173912,0.9408695652173912,0.9317094388864724,0.9051967819091108,0.8773201856148491,0.8329417906551814
1.0,Decision Tree,1.0,"{'min_samples_split': 0.01, 'max_depth': 10}",0.10497760772705078,0.008278846740722656,0.9,0.3804489689376142,0.8785,0.20348601540332387,0.3304339649254784,0.559238197486514,0.933734939759036,0.933734939759036,0.9238578680203046,0.8991127177127834,0.8702241195304162,0.8458543619322278,0.8106164383561644
2.0,Random Forest,33.0,"{'min_samples_split': 0.01, 'max_depth': 15, 'max_features': 6}",6.312415361404419,0.6739656925201416,0.8,0.36757156530061774,0.9244872591671844,0.1722740170247264,0.29042807634109435,0.5648846034047892,0.9652173913043478,0.9521739130434784,0.9504347826086956,0.9343192692474988,0.9101783384080034,0.8834106728538283,0.8318976768467763
3.0,Bagging,24.0,"{'max_samples': 0.1, 'max_features': 41}",20.580588579177856,1.661001205444336,0.8,0.3455146610980597,0.9193366000753864,0.14123574034396896,0.24485493424354984,0.5519017603241623,0.956896551724138,0.9443254817987152,0.9365895458440444,0.9210754553339116,0.9037165833514452,0.8737766263672999,0.8310863703574846
