Model,Threshold,Hyperparameters,Default Parameters,Accuracy,Precision,Recall,F1 Score,AUC ROC Score,p_at_0.01,p_at_0.02,p_at_0.05,p_at_0.1,p_at_0.2,p_at_0.3,p_at_0.4,p_at_0.45,p_at_0.475,p_at_0.5,p_at_0.525,p_at_0.55,p_at_0.6,p_at_0.7,p_at_0.8,p_at_0.9,p_at_0.95,p_at_0.98,p_at_0.99
KNN,0.01,"{'weights': 'distance', 'metric': 'euclidean', 'n_neighbors': 90}",{'n_jobs': -1},0.7420338375082203,0.7420560188921771,0.9999597180261833,0.8519166752462336,0.49997985901309167,1.0,0.8333333333333334,0.875,0.8787878787878788,0.8787878787878788,0.88,0.8796992481203008,0.8933333333333333,0.8924050632911392,0.8922155688622755,0.88,0.8852459016393442,0.89,0.8931623931623932,0.8764044943820225,0.8870431893687708,0.8832807570977917,0.8807339449541285,0.8821752265861027
KNN,0.8,"{'weights': 'uniform', 'metric': 'manhattan', 'n_neighbors': 70}",{'n_jobs': -1},0.33960064566270104,0.8486472690148035,0.1339375629405841,0.23136067912187314,0.5326079053548674,1.0,0.8333333333333334,0.9375,0.9696969696969697,0.9696969696969697,0.9,0.9172932330827067,0.9266666666666666,0.930379746835443,0.9221556886227545,0.88,0.8579234972677595,0.87,0.8888888888888888,0.9026217228464419,0.9136212624584718,0.886435331230284,0.8593272171253823,0.8489425981873112
KNN,0.01,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 50}",{'n_jobs': -1},0.7420637292999342,0.7420637292999342,1.0,0.8519363750235934,0.5,1.0,1.0,0.9375,0.9696969696969697,0.9242424242424242,0.86,0.8721804511278195,0.8866666666666667,0.8924050632911392,0.8982035928143712,0.9028571428571428,0.907103825136612,0.915,0.8418803418803419,0.8164794007490637,0.8372093023255814,0.8454258675078864,0.8501529051987767,0.851963746223565
KNN,0.01,"{'weights': 'distance', 'metric': 'euclidean', 'n_neighbors': 90}",{'n_jobs': -1},0.7420338375082203,0.7420560188921771,0.9999597180261833,0.8519166752462336,0.49997985901309167,1.0,0.8333333333333334,0.875,0.8787878787878788,0.8787878787878788,0.88,0.8796992481203008,0.8933333333333333,0.8924050632911392,0.8922155688622755,0.88,0.8852459016393442,0.89,0.8931623931623932,0.8764044943820225,0.8870431893687708,0.8832807570977917,0.8807339449541285,0.8821752265861027
KNN,0.6,"{'weights': 'distance', 'metric': 'manhattan', 'n_neighbors': 70}",{'n_jobs': -1},0.6808154480779578,0.7660110563724568,0.8205035246727089,0.7923214563559982,0.5497233117627074,1.0,0.8333333333333334,0.875,0.9393939393939394,0.8787878787878788,0.89,0.8796992481203008,0.8933333333333333,0.8924050632911392,0.8862275449101796,0.8857142857142857,0.8852459016393442,0.89,0.8888888888888888,0.8876404494382022,0.8870431893687708,0.886435331230284,0.8868501529051988,0.8882175226586103
Logistic Regression,0.525,"{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01}",{'random_state': 123},0.7271178334429366,0.7540628034962771,0.9382880161127896,0.8361482545095575,0.5289423624427663,1.0,0.8333333333333334,0.875,0.9090909090909091,0.8939393939393939,0.9,0.9022556390977443,0.9,0.9050632911392406,0.9041916167664671,0.9028571428571428,0.9016393442622951,0.895,0.8931623931623932,0.8876404494382022,0.8770764119601329,0.8706624605678234,0.8746177370030581,0.8761329305135952
Logistic Regression,0.9,"{'penalty': 'l2', 'solver': 'newton-cg', 'C': 0.001}",{'random_state': 123},0.2590422669934836,0.8936170212765957,0.0016918429003021148,0.003377291733676423,0.5005562007409148,1.0,0.8333333333333334,0.875,0.8787878787878788,0.9090909090909091,0.9,0.9097744360902256,0.9133333333333333,0.9113924050632911,0.9161676646706587,0.9142857142857143,0.907103825136612,0.905,0.905982905982906,0.9026217228464419,0.9036544850498339,0.9053627760252366,0.9021406727828746,0.8972809667673716
Logistic Regression,0.01,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.001}",{'random_state': 123},0.7420637292999342,0.7420637292999342,1.0,0.8519363750235934,0.5,1.0,1.0,1.0,0.9696969696969697,0.9848484848484849,0.99,0.9924812030075187,0.9866666666666667,0.9873417721518988,0.9880239520958084,0.9885714285714285,0.9890710382513661,0.99,0.9914529914529915,0.9887640449438202,0.9867109634551495,0.9873817034700315,0.9877675840978594,0.9879154078549849
Logistic Regression,0.02,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.1}",{'random_state': 123},0.7421235128833622,0.7423254143977022,0.9993957703927493,0.8518893676927567,0.5006829356077781,1.0,0.8333333333333334,0.875,0.9090909090909091,0.8939393939393939,0.9,0.9022556390977443,0.9066666666666666,0.9113924050632911,0.9041916167664671,0.9028571428571428,0.8961748633879781,0.895,0.8931623931623932,0.8913857677902621,0.8803986710963455,0.8738170347003155,0.8746177370030581,0.8731117824773413
Logistic Regression,0.7,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.01}",{'random_state': 123},0.5648054044359418,0.8267761650114591,0.5231419939577039,0.640811190881504,0.6039049870124595,1.0,1.0,0.9375,0.8787878787878788,0.8939393939393939,0.92,0.9172932330827067,0.9266666666666666,0.930379746835443,0.9221556886227545,0.9257142857142857,0.9234972677595629,0.925,0.9230769230769231,0.9213483146067416,0.9169435215946844,0.9148264984227129,0.9174311926605505,0.918429003021148
