Model,Threshold,Hyperparameters,Default Parameters,Accuracy,Precision,Recall,F1 Score,AUC ROC Score,p_at_0.01,p_at_0.02,p_at_0.05,p_at_0.1,p_at_0.2,p_at_0.3,p_at_0.4,p_at_0.45,p_at_0.475,p_at_0.5,p_at_0.525,p_at_0.55,p_at_0.6,p_at_0.7,p_at_0.8,p_at_0.9,p_at_0.95,p_at_0.98,p_at_0.99
Linear SVM,0.6,"{'penalty': 'l2', 'C': 0.1}","{'random_state': 123, 'max_iter': 200}",0.6809324009324009,0.680919518791383,0.9999315256094221,0.8101525658807212,0.500184868852038,1.0,1.0,0.8,0.8571428571428571,0.8095238095238095,0.796875,0.788235294117647,0.8020833333333334,0.7920792079207921,0.794392523364486,0.8035714285714286,0.7863247863247863,0.796875,0.8,0.8011695906432749,0.7979274611398963,0.7931034482758621,0.7904761904761904,0.7877358490566038
Bagging,0.4,"{'max_samples': 0.5, 'max_features': 47}","{'n_estimators': 50, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.678041958041958,0.6947086199919061,0.9403588058066283,0.7990806470382871,0.5294110710306879,1.0,1.0,1.0,1.0,0.8333333333333334,0.890625,0.9176470588235294,0.9270833333333334,0.9306930693069307,0.9345794392523364,0.9375,0.9401709401709402,0.9453125,0.9533333333333334,0.9532163742690059,0.8808290155440415,0.8571428571428571,0.861904761904762,0.8632075471698113
Bagging,0.98,"{'max_samples': 0.3, 'max_features': 47}","{'n_estimators': 50, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.320979020979021,0.8823529411764706,0.0030813475760065735,0.006141248720573183,0.5011024616933495,1.0,1.0,1.0,0.9523809523809523,0.8571428571428571,0.90625,0.9294117647058824,0.9270833333333334,0.900990099009901,0.8504672897196262,0.8125,0.7777777777777778,0.7734375,0.8066666666666666,0.8304093567251462,0.8497409326424871,0.8571428571428571,0.861904761904762,0.8632075471698113
Bagging,0.01,"{'max_samples': 0.05, 'max_features': 7}","{'n_estimators': 50, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.6808391608391609,0.6808391608391609,1.0,0.8101181560991846,0.5,1.0,1.0,0.7,0.7619047619047619,0.8333333333333334,0.796875,0.7529411764705882,0.7708333333333334,0.7623762376237624,0.7757009345794392,0.7767857142857143,0.7777777777777778,0.78125,0.7533333333333333,0.7602339181286549,0.7823834196891192,0.7733990147783252,0.7714285714285715,0.7688679245283019
Bagging,0.2,"{'max_samples': 0.3, 'max_features': 47}","{'n_estimators': 50, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.6806060606060607,0.6812888743394285,0.9975349219391948,0.809625698168783,0.5010315567919754,1.0,1.0,1.0,0.9523809523809523,0.8571428571428571,0.90625,0.9294117647058824,0.9270833333333334,0.900990099009901,0.8504672897196262,0.8125,0.7777777777777778,0.7734375,0.8066666666666666,0.8304093567251462,0.8497409326424871,0.8571428571428571,0.861904761904762,0.8632075471698113
Bagging,0.7,"{'max_samples': 0.3, 'max_features': 47}","{'n_estimators': 50, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.5637296037296037,0.744,0.547658175842235,0.6309063658594304,0.5728358071732355,1.0,1.0,1.0,0.9523809523809523,0.8571428571428571,0.90625,0.9294117647058824,0.9270833333333334,0.900990099009901,0.8504672897196262,0.8125,0.7777777777777778,0.7734375,0.8066666666666666,0.8304093567251462,0.8497409326424871,0.8571428571428571,0.861904761904762,0.8632075471698113
Boosting,0.5,"{'algorithm': 'SAMME.R', 'learning_rate': 0.5}","{'n_estimators': 100, 'random_state': 123}",0.6778554778554778,0.6978909465020576,0.928992056970693,0.7970273763365057,0.5355594231683731,1.0,1.0,1.0,0.8095238095238095,0.8095238095238095,0.8125,0.8,0.8020833333333334,0.801980198019802,0.8037383177570093,0.7946428571428571,0.7863247863247863,0.796875,0.7866666666666666,0.7894736842105263,0.8031088082901554,0.8078817733990148,0.8047619047619048,0.8066037735849056
Boosting,0.55,"{'algorithm': 'SAMME.R', 'learning_rate': 0.5}","{'n_estimators': 100, 'random_state': 123}",0.32675990675990674,0.8122605363984674,0.014516570802519857,0.028523377060208542,0.5036795532949204,1.0,1.0,1.0,0.8095238095238095,0.8095238095238095,0.8125,0.8,0.8020833333333334,0.801980198019802,0.8037383177570093,0.7946428571428571,0.7863247863247863,0.796875,0.7866666666666666,0.7894736842105263,0.8031088082901554,0.8078817733990148,0.8047619047619048,0.8066037735849056
Boosting,0.01,"{'algorithm': 'SAMME.R', 'learning_rate': 0.001}","{'n_estimators': 100, 'random_state': 123}",0.6808391608391609,0.6808391608391609,1.0,0.8101181560991846,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boosting,0.5,"{'algorithm': 'SAMME.R', 'learning_rate': 0.5}","{'n_estimators': 100, 'random_state': 123}",0.6778554778554778,0.6978909465020576,0.928992056970693,0.7970273763365057,0.5355594231683731,1.0,1.0,1.0,0.8095238095238095,0.8095238095238095,0.8125,0.8,0.8020833333333334,0.801980198019802,0.8037383177570093,0.7946428571428571,0.7863247863247863,0.796875,0.7866666666666666,0.7894736842105263,0.8031088082901554,0.8078817733990148,0.8047619047619048,0.8066037735849056
Boosting,0.5,"{'algorithm': 'SAMME.R', 'learning_rate': 1}","{'n_estimators': 100, 'random_state': 123}",0.676969696969697,0.7001095061792773,0.9193371678992057,0.7948846984991564,0.5396422912239237,1.0,1.0,1.0,0.8095238095238095,0.7857142857142857,0.796875,0.788235294117647,0.8020833333333334,0.7920792079207921,0.7757009345794392,0.7767857142857143,0.7692307692307693,0.765625,0.78,0.7660818713450293,0.7875647668393783,0.7881773399014779,0.7904761904761904,0.7924528301886793
Random Forest,0.5,{'max_features': 11},"{'n_estimators': 1000, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.6675524475524476,0.7037683372416426,0.8836620104081073,0.7835220545824354,0.5451029888441354,1.0,1.0,0.9,0.8095238095238095,0.7857142857142857,0.78125,0.8235294117647058,0.8020833333333334,0.8118811881188119,0.822429906542056,0.8125,0.8205128205128205,0.8125,0.8266666666666667,0.8128654970760234,0.8290155440414507,0.8325123152709359,0.8380952380952381,0.839622641509434
Random Forest,0.99,{'max_features': 19},"{'n_estimators': 1000, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.3195337995337995,0.9,0.0006162695152013147,0.0012316956343232518,0.5002350994084916,1.0,1.0,0.9,0.8571428571428571,0.9285714285714286,0.890625,0.8941176470588236,0.8854166666666666,0.8910891089108911,0.897196261682243,0.8839285714285714,0.8803418803418803,0.875,0.88,0.8713450292397661,0.8756476683937824,0.8669950738916257,0.8714285714285714,0.8726415094339622
Random Forest,0.01,{'max_features': 7},"{'n_estimators': 1000, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.6808391608391609,0.6808391608391609,1.0,0.8101181560991846,0.5,1.0,0.75,0.8,0.8095238095238095,0.7380952380952381,0.78125,0.8,0.78125,0.7722772277227723,0.7850467289719626,0.7767857142857143,0.7863247863247863,0.78125,0.7666666666666667,0.7719298245614035,0.7823834196891192,0.7783251231527094,0.780952380952381,0.7830188679245284
Random Forest,0.4,{'max_features': 7},"{'n_estimators': 1000, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.6817249417249417,0.6912596527470365,0.9623390851821418,0.8045799341634464,0.5227266562340742,1.0,0.75,0.8,0.8095238095238095,0.7380952380952381,0.78125,0.8,0.78125,0.7722772277227723,0.7850467289719626,0.7767857142857143,0.7863247863247863,0.78125,0.7666666666666667,0.7719298245614035,0.7823834196891192,0.7783251231527094,0.780952380952381,0.7830188679245284
Random Forest,0.7,{'max_features': 27},"{'n_estimators': 1000, 'oob_score': True, 'n_jobs': -1, 'random_state': 123}",0.5783216783216784,0.7361712974764211,0.5932621199671323,0.6570356045956091,0.5698563010002182,1.0,1.0,1.0,0.9047619047619048,0.8809523809523809,0.890625,0.8823529411764706,0.8854166666666666,0.8811881188118812,0.8878504672897196,0.8928571428571429,0.8717948717948718,0.8828125,0.8933333333333333,0.8771929824561403,0.8911917098445595,0.8866995073891626,0.8904761904761904,0.8915094339622641
