ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Threshold,accuracy,precision,recall,f1,roc_auc,Precision at 1%,Precision at 2%,Precision at 5%,Precision at 10%,Precision at 20%,Precision at 30%,Precision at 50%
0,Logistic Regression,33,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs'}",0.071777105,0.002991915,0.9,0.312538067,0.934795495,0.091319706,0.166385313,0.536039423,0.965217391,0.956521739,0.945217391,0.933884298,0.905393649,0.874564965,0.830592535
0,Logistic Regression,34,"{'penalty': 'l2', 'C': 0.01, 'solver': 'newton-cg'}",0.267286301,0.003988266,0.9,0.312581571,0.934834123,0.091377613,0.166482038,0.536068376,0.965217391,0.956521739,0.945217391,0.933884298,0.905393649,0.874564965,0.830592535
0,Logistic Regression,35,"{'penalty': 'l2', 'C': 0.01, 'solver': 'sag'}",0.533574343,0.00299263,0.9,0.312581571,0.934834123,0.091377613,0.166482038,0.536068376,0.965217391,0.956521739,0.945217391,0.933884298,0.905393649,0.874564965,0.830592535
1,Decision Tree,12,"{'min_samples_split': 0.04, 'max_depth': 5}",0.054852962,0.005984068,0.9,0.332506743,0.925353357,0.121315652,0.21450878,0.545877347,0.925353357,0.925353357,0.925353357,0.916860015,0.880377754,0.815137368,0.798306666
2,Random Forest,43,"{'min_samples_split': 0.01, 'max_depth': 15, 'max_features': 56}",10.96767378,0.412866592,0.9,0.319759854,0.929963138,0.102264173,0.184265442,0.539500112,0.960869565,0.939130435,0.933043478,0.925619835,0.898869074,0.867169374,0.820934482
3,Bagging,68,"{'max_samples': 0.7, 'max_features': 21}",17.76954865,4.231081963,0.8,0.287827373,0.923656927,0.056749088,0.106928532,0.521290409,0.952173913,0.936956522,0.924347826,0.913005655,0.894736842,0.873984919,0.8330288
4,Ada Boosting,6,"{'algorithm': 'SAMME.R', 'learning_rate': 0.001}",17.90105057,3.326564789,0.7,0.406769338,0.894977169,0.238346169,0.376440461,0.57693065,0.927557513,0.927557513,0.927557513,0.894977169,0.894977169,0.827803805,0.775592616
5,Extra Tree,55,"{'min_samples_split': 0.01, 'max_depth': 20, 'max_features': 36}",6.567950249,0.431983471,0.9,0.324153833,0.927936821,0.108865597,0.194869137,0.541663864,0.943478261,0.930434783,0.931304348,0.926054806,0.901478904,0.871954756,0.822065605
6,Naive Bayes,0,{},0.031243086,0.031246662,0.9,0.456799791,0.843359655,0.340147084,0.484773459,0.574656365,0.886956522,0.880434783,0.865217391,0.842975207,0.839095456,0.842807425,0.817193074
7,KNN,8,"{'n_neighbors': 200, 'weights': 'uniform', 'metric': 'euclidean'}",0.74612546,10.5620029,0.8,0.307317498,0.910420475,0.086513406,0.158011634,0.53040031,0.93814433,0.929245283,0.920918367,0.895040369,0.872178865,0.854442075,0.819923372
7,KNN,11,"{'n_neighbors': 200, 'weights': 'uniform', 'metric': 'minkowski'}",0.791715145,10.76570654,0.8,0.307317498,0.910420475,0.086513406,0.158011634,0.53040031,0.93814433,0.929245283,0.920918367,0.895040369,0.872178865,0.854442075,0.819923372
8,Linear SVM,6,"{'penalty': 'l2', 'C': 0.001}",0.353053331,0.002956867,0.7,0.286391717,0.946391753,0.05315884,0.100663414,0.52203158,0.969565217,0.956521739,0.944347826,0.92692475,0.899086559,0.873549884,0.831114591
